,ADDRESS,FIRST APPROACH,SECOND APPROACH,GO-LIVE DATE,Lat,Lng,LOCATION,Region ID,Region Name
120,4041 W Chicago Ave (Speed Camera),EB,,03/24/2014,41.89522798956752,-87.72771533433409,"(41.89522798956752, -87.72771533433409)",10,Humboldt-Garfield Prk E/W
121,629 State St (Speed Camera),NB,,11/25/2013,41.873849598744286,-87.62744787497319,"(41.873849598744286, -87.62744787497319)",13,Chicago Loop
122,6514 W Belmont (Speed Camera),WB,,03/10/2014,41.93837715933998,-87.78911871294291,"(41.93837715933998, -87.78911871294291)",5,Dunning-Portage-Belmont Cragn
123,2417 W 103rd St (Speed Camera),EB,,10/17/2014,41.70626766073214,-87.68239147238012,"(41.70626766073214, -87.68239147238012)",25,Beverly-Mt Greenwood-Morgan Park
124,1226 Western (Speed Camera),SB,,02/24/2014,41.903817102751105,-87.68719499776859,"(41.90381710275111, -87.6871949977686)",11,West Town-Near West
125,5420 S Racine (Speed Camera),NB,SB,03/10/2014,41.79533277484824,-87.65504097855228,"(41.795332774848234, -87.65504097855228)",19,New City-Englewood-W Englewood
126,5025 S Western (Speed Camera),NB,SB,02/25/2014,41.80217402993405,-87.68410655772436,"(41.802174029934044, -87.68410655772436)",18,South West Side
127,1315 W Garfield Blvd (Speed Camera),EB,,03/24/2014,41.79364509144465,-87.6578607639445,"(41.793645091444645, -87.6578607639445)",19,New City-Englewood-W Englewood
128,5330 Cottage Grove (Speed Camera),NB,SB,10/05/2013,41.79770388561477,-87.60644477865196,"(41.79770388561477, -87.60644477865196)",20,Fuller-Grand Blvd-Washington Park
129,3535 E 95th St (Speed Camera),EB,,06/30/2014,41.7228183224216,-87.53756746533104,"(41.722818322421595, -87.53756746533104)",27,South Deering-East Side
130,5529 S Western (Speed Camera),SB,,11/23/2013,41.79252199331773,-87.68385704739886,"(41.79252199331773, -87.68385704739886)",18,South West Side
131,6125 N Cicero Ave (Speed Camera),EB,WB,03/17/2014,41.992119411427396,-87.74847678515228,"(41.9921194114274, -87.74847678515228)",2,Far North West
132,5432 W Lawrence (Speed Camera),EB,WB,02/14/2014,41.96785573012919,-87.7639286436993,"(41.96785573012919, -87.76392864369929)",2,Far North West
133,5433 S Pulaski (Speed Camera),NB,,02/07/2014,41.79404504596532,-87.72303636259336,"(41.79404504596532, -87.72303636259336)",18,South West Side
134,3542 E 95th St (Speed Camera),WB,,06/30/2014,41.723044619759776,-87.53704075834551,"(41.72304461975978, -87.5370407583455)",27,South Deering-East Side
135,3100 W Augusta Blvd (Speed Camera),EB,WB,10/17/2013,41.89932514072566,-87.70452234551169,"(41.89932514072566, -87.70452234551168)",10,Humboldt-Garfield Prk E/W
